index,FP,Carregamento,valorFusivel,tipoCurto,I_A_Isolador,I_B_Isolador,I_C_Isolador,I_A1_Isolador,I_B1_Isolador,I_C1_Isolador,I_A_Consumidor,I_B_Consumidor,I_C_Consumidor
1,0.6,1,1,1,14.9125,14.5362,14.9776,15.0789,14.6406,14.7068,0.0311442,0.0311427,0.0622869
2,0.6,1,1,2,6.93161,7.93536,14.7555,12.4976,1.19866,13.081,0.558582,1.18978,0.631698
3,0.6,1,1,3,7.92996,14.7635,6.94335,1.18708,13.0828,12.5094,1.17804,0.626483,0.552042
4,0.6,1,1,4,14.9125,6.98867,8.03025,13.2274,12.6223,1.19288,0.591974,0.591937,1.18391
5,0.6,1,1,5,1.19,1.19,1.19,1.19,1.19,1.19,1.184,1.184,1.184
6,0.6,1,2,1,23.3146,22.3559,23.3931,23.6772,22.653,22.7338,0.0481432,0.0481397,0.0962829
7,0.6,1,2,2,11.012,11.944,22.8759,19.5489,1.23011,20.0887,0.55593,1.22105,0.666564
8,0.6,1,2,3,11.9358,22.8884,11.0309,1.21228,20.0915,19.5675,1.20301,0.658084,0.546385
9,0.6,1,2,4,23.3146,11.1986,12.1907,20.4854,19.911,1.2212,0.606041,0.605982,1.21202
10,0.6,1,2,5,1.2182,1.2182,1.2182,1.2182,1.2182,1.2182,1.2121,1.2121,1.2121
11,0.6,1,3,1,27.1043,25.7887,27.1623,27.5669,26.2145,26.2745,0.0556417,0.0556371,0.111279
12,0.6,1,3,2,12.8325,13.7182,26.4787,22.6818,1.23865,23.1945,0.552741,1.22953,0.678923
13,0.6,1,3,3,13.7087,26.4932,12.8546,1.21821,23.1976,22.7034,1.20888,0.669044,0.542012
14,0.6,1,3,4,27.1043,13.1076,14.0633,23.7559,23.2029,1.22843,0.609633,0.609566,1.2192
15,0.6,1,3,5,1.22544,1.22545,1.22544,1.22541,1.22542,1.22543,1.21927,1.21928,1.21927
16,0.6,1,4,1,32.3249,30.4254,32.3084,32.9229,31.0772,31.06,0.130995,0.130982,0.261976
17,0.6,1,4,2,15.0547,16.5488,31.3638,26.7507,2.40276,27.6192,1.05748,2.3939,1.34387
