index,FP,Carregamento,valorFusivel,tipoCurto,I_A_Isolador,I_B_Isolador,I_C_Isolador,I_A1_Isolador,I_B1_Isolador,I_C1_Isolador,I_A_Consumidor,I_B_Consumidor,I_C_Consumidor
1,0.6,1,1,1,14.9125,14.5383,14.9805,15.0802,14.641,14.7102,0.0338905,0.0338891,0.0677796
2,0.6,1,1,2,6.159,8.60552,14.7644,12.0801,1.41301,13.4926,0.662804,1.40266,0.74043
3,0.6,1,1,3,8.59106,14.7585,6.16754,1.39957,13.4809,12.0816,1.38881,0.734427,0.655005
4,0.6,1,1,4,14.9125,6.24019,8.67286,13.617,12.2124,1.40631,0.697894,0.697854,1.39575
5,0.6,1,1,5,1.4029,1.4029,1.4029,1.4029,1.4029,1.4029,1.3959,1.3959,1.3959
6,0.6,1,2,1,23.3146,22.3604,23.4002,23.6804,22.6535,22.7416,0.0523945,0.0523911,0.104786
7,0.6,1,2,2,10.2265,12.6651,22.8916,19.1207,1.40806,20.5287,0.640581,1.39789,0.758916
8,0.6,1,2,3,12.6428,22.8819,10.2391,1.38802,20.5101,19.1224,1.37721,0.749343,0.629606
9,0.6,1,2,4,23.3146,10.4469,12.8677,20.8898,19.4922,1.39805,0.693807,0.693745,1.38755
10,0.6,1,2,5,1.3946,1.3946,1.3946,1.3946,1.3946,1.3947,1.3876,1.3877,1.3877
11,0.6,1,3,1,27.1043,25.7944,27.1718,27.5714,26.215,26.2848,0.0605581,0.0605535,0.121112
12,0.6,1,3,2,12.0311,14.4667,26.4977,22.2446,1.40713,23.6508,0.632107,1.39703,0.767276
13,0.6,1,3,3,14.4409,26.4863,12.0456,1.38437,23.6293,22.2463,1.37353,0.756183,0.619886
14,0.6,1,3,4,27.1043,12.3434,14.7609,24.1708,22.7751,1.39576,0.692673,0.692601,1.38527
15,0.6,1,3,5,1.39231,1.39234,1.39233,1.39233,1.39234,1.39235,1.38535,1.38536,1.38537
16,0.6,1,4,1,32.3249,30.4402,32.3348,32.9357,31.0776,31.088,0.14253,0.142518,0.285049
17,0.6,1,4,2,13.2996,18.1148,31.4097,25.8118,2.79784,28.5922,1.24721,2.78784,1.5489
18,0.6,1,4,3,18.0533,31.3848,13.3372,2.74467,28.5422,25.8189,2.7338,1.52477,1.21815
19,0.6,1,4,4,32.3249,13.7686,18.5578,29.3769,26.6117,2.77125,1.38048,1.38031,2.76079
20,0.6,1,4,5,2.76786,2.76793,2.76788,2.76786,2.76792,2.76794,2.76091,2.76096,2.76097
21,0.6,1,5,1,37.0405,34.5478,36.9555,37.7794,35.4278,35.3389,0.241816,0.241793,0.483609
22,0.6,1,5,2,14.3462,21.4561,35.7792,28.9342,4.17172,33.0415,1.84709,4.16184,2.33365
23,0.6,1,5,3,21.3518,35.7398,14.4144,4.08332,32.958,28.95,4.07246,2.29547,1.79813
24,0.6,1,5,4,37.0405,14.9808,22.071,34.1264,30.0317,4.12746,2.05866,2.05839,4.11706
25,0.6,1,5,5,4.12411,4.12425,4.12413,4.12409,4.12422,4.12424,4.11718,4.1173,4.1173
26,0.6,1,6,1,39.9309,37.0131,39.7578,40.7445,38.071,37.8894,0.259269,0.259243,0.518511
27,0.6,1,6,2,15.6773,22.7619,38.4138,31.2233,4.16918,35.3161,1.83316,4.15935,2.34894
28,0.6,1,6,3,22.65,38.3707,15.7497,4.07593,35.2259,31.2394,4.06504,2.30776,1.78269
